geo,bad_teeth_per_child_12_yr,time
afg,2.90,2004
alb,3.02,2004
dza,2.30,2004
ago,1.70,2004
aia,2.50,2004
atg,0.70,2004
arg,3.40,2004
arm,2.40,2004
aus,0.80,2004
aut,1.00,2004
bhs,1.60,2004
bhr,1.40,2004
bgd,1.00,2004
brb,0.86,2004
blr,2.70,2004
bel,1.10,2004
blz,0.60,2004
ben,0.80,2004
bmu,0.20,2004
btn,1.40,2004
bol,4.70,2004
bih,4.80,2004
bwa,0.50,2004
bra,2.80,2004
brn,4.80,2004
bgr,4.40,2004
bfa,0.70,2004
bdi,1.00,2004
khm,2.30,2004
cmr,1.50,2004
can,2.10,2004
cpv,2.80,2004
cym,0.90,2004
caf,4.10,2004
chl,3.40,2004
chn,1.03,2004
col,2.30,2004
cod,0.75,2004
cok,1.30,2004
cri,2.30,2004
hrv,3.50,2004
cub,1.40,2004
cyp,1.14,2004
cze,2.50,2004
dnk,0.80,2004
dji,0.90,2004
dma,2.00,2004
dom,4.40,2004
ecu,3.00,2004
egy,1.18,2004
slv,1.40,2004
est,2.70,2004
eth,1.55,2004
fji,1.50,2004
fin,1.20,2004
fra,1.20,2004
pyf,3.20,2004
gab,4.40,2004
gmb,2.30,2004
geo,2.40,2004
deu,0.70,2004
gha,0.40,2004
gib,1.60,2004
grc,2.20,2004
grd,2.20,2004
gtm,5.20,2004
gnb,0.50,2004
guy,1.30,2004
hti,0.65,2004
hnd,3.70,2004
hkg,0.80,2004
hun,3.30,2004
isl,1.40,2004
ind,3.94,2004
idn,2.20,2004
irn,1.15,2004
irq,1.70,2004
irl,1.10,2004
isr,1.66,2004
ita,1.10,2004
jam,1.10,2004
jpn,1.70,2004
jor,3.30,2004
kaz,2.10,2004
ken,1.35,2004
kir,1.00,2004
prk,3.00,2004
kor,3.10,2004
kwt,2.60,2004
kgz,3.10,2004
lao,2.00,2004
lva,3.40,2004
lbn,3.40,2004
lso,0.40,2004
lbr,0.40,2004
lby,1.14,2004
lie,3.40,2004
ltu,3.60,2004
lux,3.00,2004
mac,1.80,2004
mkd,3.03,2004
mdg,3.10,2004
mwi,0.70,2004
mys,1.60,2004
mdv,2.10,2004
mli,2.20,2004
mlt,1.60,2004
mtq,6.30,2004
mrt,2.00,2004
mus,4.90,2004
mex,2.00,2004
fsm,2.10,2004
mda,2.30,2004
mng,1.90,2004
mar,2.50,2004
moz,3.05,2004
mmr,1.10,2004
nam,1.20,2004
npl,0.50,2004
nld,0.80,2004
ncl,4.40,2004
nzl,1.60,2004
nic,1.50,2004
ner,1.30,2004
nga,0.46,2004
niu,1.80,2004
nor,1.70,2004
omn,1.65,2004
pak,1.38,2004
pan,3.60,2004
png,1.70,2004
pry,3.80,2004
per,2.90,2004
phl,2.90,2004
pol,3.20,2004
prt,1.50,2004
pri,3.80,2004
reu,4.10,2004
rou,2.80,2004
rus,2.90,2004
rwa,0.30,2004
kna,5.50,2004
lca,6.00,2004
vct,3.20,2004
wsm,2.50,2004
smr,3.70,2004
sau,5.90,2004
sen,1.20,2004
scg,5.35,2004
syc,1.50,2004
sle,1.30,2004
sgp,1.00,2004
svn,1.80,2004
slb,2.70,2004
som,1.00,2004
zaf,1.05,2004
esp,1.12,2004
lka,1.40,2004
sdn,1.40,2004
sur,1.90,2004
swz,0.90,2004
swe,1.00,2004
che,0.86,2004
syr,2.30,2004
tjk,1.20,2004
tza,0.30,2004
tha,1.60,2004
tgo,0.30,2004
tkl,4.80,2004
ton,3.10,2004
tto,0.60,2004
tun,1.30,2004
tur,2.70,2004
tkm,2.60,2004
tuv,2.00,2004
uga,0.90,2004
ukr,4.40,2004
are,1.60,2004
gbr,0.70,2004
usa,1.19,2004
ury,2.50,2004
uzb,1.40,2004
vut,1.20,2004
ven,2.10,2004
vnm,1.90,2004
yem,3.10,2004
zmb,2.30,2004
zwe,1.30,2004
