geo,age_at_1st_marriage_women,time
afg,17.84,1979
afg,17.84,2005
alb,21.52,1946
alb,21.00,1955
alb,21.50,1970
alb,22.47,1989
alb,23.33,2005
dza,20.00,1948
dza,19.60,1954
dza,18.00,1966
dza,19.30,1970
dza,20.90,1977
dza,23.80,1987
dza,25.50,1992
dza,27.60,1998
dza,29.60,2005
ago,19.39,1970
arg,23.11,1970
arg,23.26,2005
arm,17.00,1897
arm,22.99,2005
aus,24.50,1915
aus,24.40,1920
aus,24.50,1925
aus,24.50,1930
aus,24.50,1935
aus,24.20,1940
aus,23.30,1945
aus,22.60,1950
aus,22.10,1955
aus,21.60,1960
aus,21.20,1965
aus,21.10,1970
aus,28.93,2005
aut,25.90,1947
aut,25.30,1950
aut,24.01,1960
aut,22.88,1970
aut,23.15,1980
aut,24.90,1990
aut,28.94,2005
aze,16.20,1897
aze,23.89,2005
bhs,22.45,1970
bhs,27.19,2005
bhr,25.90,2005
bgd,12.60,1815
bgd,12.60,1931
bgd,13.70,1941
bgd,14.40,1951
bgd,13.90,1961
bgd,14.80,1965
bgd,16.60,1974
bgd,16.40,1975
bgd,16.40,1980
bgd,17.70,1982
bgd,18.67,2005
brb,28.52,1970
brb,31.77,2005
blr,22.70,1897
blr,22.78,2005
bel,24.90,1780
bel,23.32,1954
bel,22.84,1960
bel,22.35,1970
bel,22.24,1980
bel,23.61,1989
bel,30.34,2005
blz,22.62,1970
blz,26.18,2005
ben,17.71,1979
ben,20.33,2005
btn,20.09,2005
bol,22.13,1976
bol,22.60,2005
bwa,24.93,1971
bwa,27.11,2005
bra,22.96,1970
bra,23.10,2005
brn,20.00,1945
brn,19.70,1960
brn,22.40,1971
brn,25.15,2005
bgr,21.32,1960
bgr,21.44,1970
bgr,21.31,1989
bgr,24.16,2005
bfa,17.41,1975
bfa,19.40,2005
bdi,21.70,1971
bdi,22.46,2005
khm,21.27,1962
khm,22.30,2005
cmr,18.80,1976
cmr,20.15,2005
can,23.10,1915
can,23.00,1920
can,23.20,1925
can,23.80,1930
can,24.10,1935
can,23.90,1940
can,23.30,1945
can,22.50,1950
can,22.20,1955
can,21.80,1960
can,21.50,1965
can,21.70,1970
can,26.76,2005
cpv,23.61,1980
cpv,25.69,2005
caf,18.37,1975
caf,19.41,2005
tcd,16.46,1964
tcd,18.34,2005
chl,23.42,1970
chl,23.37,2005
chn,19.00,1800
chn,17.65,1930
chn,18.21,1940
chn,18.21,1941
chn,18.34,1942
chn,18.41,1943
chn,18.46,1944
chn,18.60,1945
chn,18.69,1946
chn,18.53,1947
chn,18.59,1948
chn,18.57,1949
chn,18.68,1950
chn,19.07,1955
chn,19.57,1960
chn,19.74,1965
chn,20.19,1970
chn,21.74,1975
chn,23.12,1979
chn,22.82,1981
chn,22.62,1982
chn,23.31,2005
col,22.49,1973
col,23.00,2005
com,19.77,1980
com,23.61,2005
cod,20.02,1970
cod,20.02,1984
cog,22.57,1970
cog,22.57,1984
cri,21.73,1973
cri,23.39,2005
civ,18.72,1970
civ,18.72,1978
civ,22.00,1999
civ,22.00,2005
hrv,26.23,2005
cub,19.48,1970
cub,22.17,1985
cyp,24.18,1973
cyp,25.22,2005
cze,24.38,1945
cze,21.98,1960
cze,21.72,1970
cze,21.79,1989
cze,27.62,2005
dnk,27.00,1780
dnk,23.09,1955
dnk,22.75,1970
dnk,23.75,1977
dnk,26.23,1985
dnk,26.94,1989
dnk,30.85,2005
dom,19.58,1970
dom,21.47,2005
ecu,21.24,1974
ecu,21.55,2005
egy,17.50,1800
egy,18.50,1937
egy,19.00,1960
egy,21.39,1976
egy,22.71,2000
egy,23.63,2005
slv,19.04,1971
slv,22.29,2005
gnq,21.69,1970
gnq,21.69,1983
eri,20.55,2005
est,26.80,1897
est,27.58,2005
eth,17.10,1984
eth,20.51,2005
fji,21.73,1976
fji,22.90,2005
fin,24.00,1775
fin,25.00,1880
fin,24.03,1955
fin,23.50,1975
fin,25.76,1989
fin,30.54,2005
fra,25.30,1780
fra,24.56,1945
fra,24.23,1946
fra,23.77,1948
fra,23.32,1950
fra,22.61,1970
fra,22.97,1980
fra,25.52,1990
fra,30.96,2005
guf,24.43,1967
guf,31.70,2005
pyf,25.83,1977
pyf,29.87,2005
gab,17.66,1961
gab,22.10,2005
gmb,19.65,2005
geo,19.60,1897
geo,23.17,1979
geo,22.47,2005
deu,26.84,1800
deu,23.93,1954
deu,22.11,1975
deu,24.31,1988
deu,30.13,2005
gha,19.41,1971
gha,22.45,2005
grc,22.20,1907
grc,25.00,1920
grc,24.00,1928
grc,25.90,1951
grc,25.50,1961
grc,22.46,1981
grc,24.60,1991
grc,26.94,2005
glp,25.45,1967
glp,31.57,2005
gum,22.17,1980
gum,24.36,2005
gtm,19.72,1973
gtm,20.45,2005
gin,18.72,2005
guy,21.51,1970
guy,27.80,2005
hti,22.41,1971
hti,22.28,2005
hnd,20.00,1974
hnd,20.35,2005
hkg,20.70,1930
hkg,21.90,1960
hkg,22.50,1965
hkg,23.80,1971
hkg,28.62,2005
hun,23.32,1947
hun,21.99,1960
hun,21.11,1975
hun,21.82,1989
hun,27.85,2005
isl,28.00,1890
isl,21.92,1974
isl,27.51,2005
ind,13.04,1815
ind,13.04,1905
ind,13.52,1915
ind,12.50,1925
ind,14.39,1935
ind,15.38,1945
ind,15.43,1955
ind,17.10,1965
ind,18.39,1975
ind,19.94,2005
idn,18.60,1960
idn,19.28,1971
idn,21.60,1990
idn,22.11,2005
irn,18.40,1966
irn,19.70,1976
irn,19.90,1986
irn,21.00,1991
irn,22.00,1996
irn,22.14,2005
irq,20.85,1977
irq,24.84,2005
irl,23.53,1971
irl,30.71,2005
isr,22.80,1972
isr,25.87,2005
ita,25.08,1952
ita,23.94,1970
ita,29.17,2005
jam,21.06,1970
jam,33.20,2005
jpn,17.93,1685
jpn,16.95,1710
jpn,18.18,1735
jpn,18.25,1760
jpn,19.03,1785
jpn,21.11,1800
jpn,20.20,1810
jpn,20.79,1860
jpn,20.60,1879
jpn,21.10,1920
jpn,21.80,1930
jpn,23.30,1940
jpn,23.60,1950
jpn,24.70,1955
jpn,25.00,1960
jpn,24.80,1965
jpn,24.65,1970
jpn,24.40,1975
jpn,26.70,1990
jpn,28.57,2005
jor,21.50,1975
jor,25.86,2005
kaz,18.20,1897
kaz,23.36,2005
ken,19.20,1969
ken,21.45,2005
kor,16.50,1925
kor,16.70,1930
kor,21.70,1960
kor,23.28,1970
kor,27.07,2005
kwt,19.55,1970
kwt,25.07,2005
kgz,21.84,2005
lva,25.70,1897
lva,28.16,2005
lbn,23.18,1970
lso,20.07,1976
lso,21.31,2005
lbr,18.73,1970
lbr,20.16,2005
lby,18.73,1973
lby,29.19,2005
ltu,24.70,1897
ltu,26.13,2005
lux,21.40,1970
lux,27.84,2005
mac,24.10,1960
mac,25.62,1970
mac,26.36,2005
mkd,22.88,2005
mdg,20.28,1975
mdg,19.85,2005
mwi,17.80,1977
mwi,18.95,2005
mys,18.30,1940
mys,19.40,1955
mys,22.06,1970
mys,25.12,2005
mdv,17.55,1977
mdv,21.82,2005
mli,18.00,1950
mli,18.07,1976
mli,18.49,2005
