geo,all_causes_deaths_in_children_1_59_months_per_1000_births,time
afg,195.20,2008
alb,10.53,2008
dza,18.09,2008
ago,166.80,2008
arg,6.31,2008
arm,9.87,2008
aus,2.27,2008
aut,1.94,2008
aze,18.47,2008
bhs,7.79,2008
bhr,6.37,2008
bgd,20.13,2008
brb,4.20,2008
blr,6.42,2008
bel,2.48,2008
blz,11.03,2008
ben,82.27,2008
btn,45.84,2008
bol,29.16,2008
bih,6.61,2008
bwa,14.95,2008
bra,10.79,2008
brn,3.21,2008
bgr,6.37,2008
bfa,126.80,2008
bdi,119.40,2008
khm,58.37,2008
cmr,95.87,2008
can,2.53,2008
cpv,12.38,2008
caf,121.30,2008
tcd,153.60,2008
chl,4.23,2008
chn,9.02,2008
col,7.68,2008
com,64.20,2008
cog,89.84,2008
cri,3.73,2008
civ,69.12,2008
hrv,2.09,2008
cub,3.12,2008
cyp,2.12,2008
cze,1.93,2008
prk,27.12,2008
cod,135.40,2008
dnk,1.78,2008
dji,57.07,2008
dom,14.23,2008
ecu,13.64,2008
egy,8.75,2008
slv,10.61,2008
gnq,99.03,2008
eri,39.58,2008
est,2.89,2008
eth,64.61,2008
fji,9.28,2008
fin,1.51,2008
fra,1.88,2008
gab,48.81,2008
gmb,68.29,2008
geo,11.88,2008
deu,1.89,2008
gha,42.37,2008
grc,1.72,2008
grd,1.99,2008
gtm,23.52,2008
gin,95.08,2008
gnb,142.40,2008
guy,37.51,2008
hti,45.51,2008
hnd,15.03,2008
hun,3.08,2008
isl,1.73,2008
ind,30.69,2008
idn,22.01,2008
irn,14.00,2008
irq,19.57,2008
irl,2.26,2008
isr,2.41,2008
ita,1.99,2008
jam,22.84,2008
jpn,2.28,2008
jor,6.86,2008
kaz,15.10,2008
ken,92.21,2008
kwt,5.08,2008
kgz,21.10,2008
lao,39.86,2008
lva,4.06,2008
lbn,5.47,2008
lso,39.73,2008
lbr,95.60,2008
lby,7.30,2008
ltu,3.82,2008
lux,1.65,2008
mdg,68.57,2008
mwi,65.41,2008
mys,3.22,2008
mdv,12.75,2008
mli,132.60,2008
mlt,4.89,2008
mrt,69.60,2008
mus,6.80,2008
mex,10.56,2008
fsm,24.03,2008
mng,27.24,2008
mne,3.43,2008
mar,13.16,2008
moz,83.12,2008
mmr,73.00,2008
nam,23.68,2008
npl,19.47,2008
nld,1.78,2008
nzl,1.99,2008
nic,14.89,2008
ner,119.00,2008
nga,129.10,2008
nor,1.89,2008
omn,4.37,2008
pak,33.87,2008
pan,13.10,2008
png,41.88,2008
pry,12.88,2008
per,11.69,2008
phl,17.88,2008
pol,2.91,2008
prt,1.82,2008
qat,4.34,2008
kor,3.15,2008
mda,9.90,2008
rou,6.55,2008
rus,4.90,2008
rwa,67.09,2008
lca,3.95,2008
vct,3.65,2008
wsm,14.48,2008
stp,63.35,2008
sau,9.36,2008
sen,69.96,2008
srb,2.83,2008
sle,146.60,2008
sgp,1.69,2008
svk,4.20,2008
svn,1.03,2008
slb,21.02,2008
som,131.40,2008
zaf,46.95,2008
esp,2.23,2008
lka,8.41,2008
sdn,66.22,2008
sur,14.63,2008
swz,63.78,2008
swe,1.54,2008
che,1.65,2008
syr,8.36,2008
tjk,40.00,2008
tha,4.16,2008
mkd,4.54,2008
tgo,60.94,2008
ton,10.84,2008
tto,10.77,2008
tun,9.33,2008
tur,7.83,2008
tkm,27.23,2008
uga,98.92,2008
ukr,7.55,2008
are,2.65,2008
gbr,2.59,2008
tza,65.33,2008
usa,3.63,2008
ury,7.86,2008
uzb,18.63,2008
vut,18.96,2008
ven,8.16,2008
vnm,5.26,2008
yem,34.94,2008
zmb,105.50,2008
zwe,65.73,2008
