geo,municipal_water_withdrawal_cu_meters_per_person,time
afg,21.88,1987
afg,18.91,2002
alb,30.57,1992
alb,148.50,2002
dza,32.84,1982
dza,42.21,1992
dza,42.34,2002
ago,6.86,1987
ago,5.43,2002
atg,47.50,1992
arg,127.80,1997
arg,130.40,2002
arm,280.50,1992
arm,275.20,1997
arm,169.40,2002
arm,280.10,2007
aus,179.60,2002
aut,51.25,1992
aut,90.56,2002
aze,98.88,1992
aze,27.89,1997
aze,61.13,2002
aze,61.98,2007
bhr,178.30,1992
bhr,176.50,2002
bhr,240.80,2007
bgd,6.40,1987
bgd,14.36,1992
bgd,30.53,1997
bgd,17.45,2002
brb,94.44,1997
brb,103.90,2002
blr,59.06,1992
blr,65.32,2002
bel,101.20,1982
bel,110.10,2002
blz,11.65,1987
blz,48.63,1997
blz,38.90,2002
ben,6.61,1987
ben,5.00,1997
ben,5.32,2002
btn,14.02,1987
btn,33.85,2002
bol,19.90,1987
bol,20.78,2002
bwa,24.86,1992
bwa,44.50,2002
bra,69.04,1997
bra,67.06,2002
bgr,48.20,1992
bgr,40.54,2002
bfa,7.37,1987
bfa,7.76,1992
bfa,8.21,2002
bdi,6.89,1987
bdi,6.95,2002
khm,2.98,1987
khm,4.53,2002
cmr,16.10,1987
cmr,14.19,1992
cmr,10.82,2002
can,287.10,2002
cpv,3.39,2002
caf,5.35,1987
caf,5.00,2002
tcd,5.22,1987
tcd,4.39,2002
chl,94.08,1977
chl,80.12,1992
chl,90.01,2002
chn,6.57,1982
chn,25.90,1987
chn,29.57,1992
chn,20.22,1997
chn,32.01,2002
col,132.00,1997
col,125.30,2002
com,6.50,2002
cog,11.16,1987
cog,9.50,2002
cri,207.10,1997
cri,192.80,2002
civ,13.67,1987
civ,10.22,1997
civ,12.44,2002
cub,75.74,1977
cub,230.80,1997
cub,139.30,2002
cyp,41.21,1977
cyp,59.38,1982
cyp,68.14,1987
cyp,78.69,1992
cyp,66.38,1997
cyp,83.63,2002
cze,102.90,2002
prk,80.88,1987
prk,76.92,2002
cod,5.28,1992
cod,3.55,2002
dnk,67.90,1992
dnk,76.32,2002
dji,2.16,1987
dji,20.98,2002
