geo,all_causes_deaths_in_newborn_per_1000_births,time
afg,49.76,2008
alb,3.58,2008
dza,24.16,2008
ago,46.92,2008
arg,8.86,2008
arm,13.78,2008
aus,3.00,2008
aut,2.68,2008
aze,18.79,2008
bhs,5.49,2008
bhr,5.80,2008
bgd,33.21,2008
brb,7.34,2008
blr,6.51,2008
bel,2.43,2008
blz,8.34,2008
ben,32.63,2008
btn,35.47,2008
bol,24.76,2008
bih,7.42,2008
bwa,15.69,2008
bra,10.66,2008
brn,3.34,2008
bgr,4.57,2008
bfa,35.65,2008
bdi,42.02,2008
khm,31.17,2008
cmr,31.15,2008
can,3.73,2008
cpv,16.04,2008
caf,47.12,2008
tcd,44.31,2008
chl,4.65,2008
chn,11.34,2008
col,12.03,2008
com,41.87,2008
cog,34.41,2008
cri,6.55,2008
civ,40.54,2008
hrv,3.46,2008
cub,3.26,2008
cyp,2.02,2008
cze,1.81,2008
prk,28.65,2008
cod,56.37,2008
dnk,2.76,2008
dji,35.60,2008
dom,18.54,2008
ecu,11.36,2008
egy,13.49,2008
slv,7.56,2008
gnq,39.74,2008
eri,16.66,2008
est,3.20,2008
eth,39.31,2008
fji,8.43,2008
fin,1.95,2008
fra,2.23,2008
gab,27.79,2008
gmb,33.83,2008
geo,19.51,2008
deu,2.53,2008
gha,29.97,2008
grc,1.79,2008
grd,12.43,2008
gtm,10.50,2008
gin,43.45,2008
gnb,44.78,2008
guy,23.20,2008
hti,24.66,2008
hnd,15.45,2008
hun,3.76,2008
isl,1.30,2008
ind,37.30,2008
idn,18.99,2008
irn,18.84,2008
irq,25.09,2008
irl,2.73,2008
isr,2.27,2008
ita,2.32,2008
jam,8.66,2008
jpn,1.22,2008
jor,12.70,2008
kaz,16.65,2008
ken,33.22,2008
kwt,5.71,2008
kgz,17.78,2008
lao,20.26,2008
lva,5.01,2008
lbn,7.57,2008
lso,37.24,2008
lbr,44.18,2008
lby,9.29,2008
ltu,2.83,2008
lux,0.92,2008
mdg,34.87,2008
mwi,28.72,2008
mys,3.17,2008
mdv,15.72,2008
mli,52.48,2008
mlt,2.45,2008
mrt,44.74,2008
mus,9.18,2008
mex,7.19,2008
fsm,15.06,2008
mng,13.80,2008
mne,5.14,2008
mar,23.34,2008
moz,42.86,2008
mmr,48.17,2008
nam,17.60,2008
npl,30.86,2008
nld,2.82,2008
nzl,4.21,2008
nic,12.59,2008
ner,33.99,2008
nga,49.46,2008
nor,1.71,2008
omn,7.02,2008
pak,53.24,2008
pan,10.08,2008
png,25.64,2008
pry,15.19,2008
per,12.56,2008
phl,14.66,2008
pol,4.19,2008
prt,1.79,2008
qat,3.74,2008
kor,2.19,2008
mda,8.01,2008
rou,6.19,2008
rus,5.90,2008
rwa,35.23,2008
lca,11.86,2008
vct,9.91,2008
wsm,11.16,2008
stp,32.45,2008
sau,11.76,2008
sen,34.10,2008
srb,4.93,2008
sle,44.62,2008
sgp,1.29,2008
svk,3.20,2008
svn,2.00,2008
slb,14.20,2008
som,60.65,2008
zaf,19.53,2008
esp,2.15,2008
lka,8.66,2008
sdn,40.54,2008
sur,11.77,2008
swz,18.21,2008
swe,1.63,2008
che,3.06,2008
syr,7.95,2008
tjk,22.23,2008
tha,10.21,2008
mkd,6.70,2008
tgo,33.00,2008
ton,8.74,2008
tto,24.47,2008
tun,12.01,2008
tur,14.20,2008
tkm,21.14,2008
uga,30.71,2008
ukr,8.27,2008
are,4.71,2008
gbr,3.23,2008
tza,33.44,2008
usa,4.38,2008
ury,7.96,2008
uzb,19.69,2008
vut,13.30,2008
ven,9.89,2008
vnm,8.69,2008
yem,32.25,2008
zmb,36.05,2008
zwe,28.48,2008
