traffic_mortality_30_44_per_100000_people,geo,time
12.94,arg,1966
16.77,arg,1967
18.69,arg,1968
21.72,arg,1969
21.54,arg,1970
17.93,arg,1977
16.12,arg,1978
15.27,arg,1979
14.97,arg,1980
14.26,arg,1981
14.35,arg,1982
14.04,arg,1983
12.21,arg,1984
8.78,arg,1985
11.03,arg,1986
10.75,arg,1987
9.65,arg,1988
10.82,arg,1989
9.73,arg,1990
10.09,arg,1991
11.49,arg,1992
11.75,arg,1993
13.69,arg,1994
11.86,arg,1995
11.97,arg,1996
11.67,arg,1997
13.42,arg,1998
12.54,arg,1999
11.87,arg,2000
11.96,arg,2001
9.46,arg,2002
10.05,arg,2003
9.71,arg,2004
9.94,arg,2005
11.34,arg,2006
10.72,arg,2007
19.17,aus,1950
22.63,aus,1951
20.84,aus,1952
19.18,aus,1953
19.22,aus,1954
20.06,aus,1955
19.83,aus,1956
22.33,aus,1957
20.50,aus,1958
23.90,aus,1959
22.70,aus,1960
21.11,aus,1961
22.98,aus,1962
20.89,aus,1963
24.19,aus,1964
23.89,aus,1965
24.63,aus,1966
23.06,aus,1967
24.45,aus,1968
26.33,aus,1969
24.70,aus,1970
24.28,aus,1971
20.55,aus,1972
22.54,aus,1973
21.14,aus,1974
22.95,aus,1975
20.23,aus,1976
19.94,aus,1977
19.80,aus,1978
19.47,aus,1979
18.52,aus,1980
17.65,aus,1981
16.51,aus,1982
12.79,aus,1983
13.97,aus,1984
15.10,aus,1985
14.45,aus,1986
14.29,aus,1987
13.36,aus,1988
15.30,aus,1989
11.14,aus,1990
10.28,aus,1991
10.20,aus,1992
10.46,aus,1993
9.25,aus,1994
9.70,aus,1995
10.33,aus,1996
9.33,aus,1997
8.48,aus,1998
8.79,aus,1999
9.41,aus,2000
8.73,aus,2001
9.46,aus,2002
7.99,aus,2003
7.12,aus,2004
7.52,aus,2006
9.47,aut,1955
20.68,aut,1956
26.75,aut,1957
24.28,aut,1958
23.41,aut,1959
23.39,aut,1960
19.72,aut,1961
16.95,aut,1962
20.48,aut,1963
23.92,aut,1964
22.31,aut,1965
25.71,aut,1966
29.04,aut,1967
31.27,aut,1968
28.22,aut,1969
29.83,aut,1970
35.99,aut,1971
35.84,aut,1972
33.41,aut,1973
26.29,aut,1974
29.01,aut,1975
26.05,aut,1976
23.61,aut,1977
23.12,aut,1978
20.96,aut,1979
20.42,aut,1980
19.45,aut,1981
21.67,aut,1982
21.21,aut,1983
18.24,aut,1984
13.17,aut,1985
15.26,aut,1986
14.58,aut,1987
15.16,aut,1988
13.94,aut,1989
16.23,aut,1990
13.90,aut,1991
11.56,aut,1992
11.61,aut,1993
11.41,aut,1994
11.57,aut,1995
8.76,aut,1996
9.70,aut,1997
9.29,aut,1998
10.00,aut,1999
9.72,aut,2000
10.13,aut,2001
9.36,aut,2002
8.24,aut,2003
9.25,aut,2004
8.44,aut,2005
6.87,aut,2006
6.26,aut,2007
5.74,aut,2008
19.50,aze,1981
19.55,aze,1982
15.31,aze,1985
24.03,aze,1986
21.50,aze,1987
26.67,aze,1988
26.16,aze,1989
26.01,aze,1990
25.33,aze,1991
24.89,aze,1992
19.69,aze,1993
3.01,aze,1994
4.08,aze,1995
9.49,aze,1996
7.95,aze,1997
8.04,aze,1998
7.28,aze,1999
7.71,aze,2000
7.89,bhr,1985
13.40,bhr,1987
7.26,bhr,1988
10.28,bhr,1997
10.34,bhr,1998
1.71,bhr,1999
9.04,bhr,2000
13.55,bhr,2001
18.43,blr,1981
17.28,blr,1982
12.08,blr,1985
11.85,blr,1986
13.03,blr,1987
18.04,blr,1988
24.22,blr,1989
28.02,blr,1990
29.90,blr,1991
27.75,blr,1992
20.48,blr,1993
21.72,blr,1994
23.17,blr,1995
20.30,blr,1997
22.28,blr,1998
23.28,blr,1999
19.42,blr,2000
18.08,blr,2001
27.48,blr,2002
27.60,blr,2003
23.50,blr,2007
11.04,bel,1954
11.58,bel,1955
13.15,bel,1956
13.28,bel,1957
16.18,bel,1958
17.33,bel,1959
17.93,bel,1960
17.75,bel,1961
17.93,bel,1962
19.33,bel,1963
21.56,bel,1964
24.17,bel,1965
20.96,bel,1966
23.16,bel,1967
24.34,bel,1968
22.88,bel,1969
28.58,bel,1970
25.34,bel,1971
27.37,bel,1972
25.53,bel,1973
22.50,bel,1974
19.61,bel,1975
23.81,bel,1976
18.93,bel,1977
20.23,bel,1978
18.49,bel,1979
22.17,bel,1980
21.27,bel,1981
17.79,bel,1982
20.55,bel,1983
18.60,bel,1984
16.00,bel,1985
17.38,bel,1986
17.58,bel,1987
16.70,bel,1988
16.13,bel,1989
17.23,bel,1990
16.65,bel,1991
16.46,bel,1992
16.58,bel,1993
17.31,bel,1994
17.09,bel,1995
13.88,bel,1996
14.94,bel,1997
14.95,bel,1998
16.24,bel,1999
12.39,bel,2004
23.13,bra,1982
21.36,bra,1983
22.59,bra,1984
25.21,bra,1985
30.28,bra,1986
27.91,bra,1987
27.87,bra,1988
26.75,bra,1989
26.12,bra,1990
24.73,bra,1991
23.35,bra,1992
23.40,bra,1993
24.29,bra,1994
27.05,bra,1995
26.25,bra,1996
26.96,bra,1997
23.01,bra,1998
21.54,bra,1999
21.24,bra,2000
20.83,bra,2001
21.94,bra,2002
21.91,bra,2003
22.84,bra,2004
23.26,bra,2005
8.10,bgr,1964
8.76,bgr,1965
14.52,bgr,1966
17.14,bgr,1967
16.85,bgr,1968
13.68,bgr,1969
15.27,bgr,1970
14.87,bgr,1971
15.72,bgr,1972
16.14,bgr,1973
12.04,bgr,1974
15.02,bgr,1975
13.32,bgr,1976
13.50,bgr,1977
16.52,bgr,1978
15.32,bgr,1979
14.83,bgr,1980
14.69,bgr,1981
15.90,bgr,1982
11.42,bgr,1983
12.91,bgr,1984
13.59,bgr,1985
11.72,bgr,1986
12.69,bgr,1987
12.14,bgr,1988
15.18,bgr,1989
17.58,bgr,1990
12.74,bgr,1991
15.13,bgr,1992
15.06,bgr,1993
17.80,bgr,1994
15.16,bgr,1995
13.77,bgr,1996
10.69,bgr,1997
11.25,bgr,1998
14.44,bgr,1999
12.49,bgr,2000
13.95,bgr,2001
12.85,bgr,2002
12.29,bgr,2003
14.08,bgr,2004
11.49,bgr,2005
13.19,bgr,2006
13.88,bgr,2007
14.90,bgr,2008
12.81,can,1950
16.09,can,1951
17.57,can,1952
18.16,can,1953
16.15,can,1954
16.53,can,1955
20.36,can,1956
19.09,can,1957
19.73,can,1958
19.07,can,1959
17.99,can,1960
19.51,can,1961
22.78,can,1962
20.66,can,1963
23.80,can,1964
23.03,can,1965
24.86,can,1966
23.70,can,1967
23.71,can,1968
22.38,can,1969
21.80,can,1970
23.44,can,1971
24.48,can,1972
22.90,can,1973
22.39,can,1974
21.46,can,1975
17.27,can,1976
17.52,can,1977
17.82,can,1978
18.41,can,1979
18.69,can,1980
18.03,can,1981
13.95,can,1982
14.82,can,1983
13.70,can,1984
14.27,can,1985
13.22,can,1986
13.68,can,1987
13.57,can,1988
14.83,can,1989
12.68,can,1990
11.08,can,1991
10.49,can,1992
11.11,can,1993
9.52,can,1994
9.70,can,1995
8.51,can,1996
8.61,can,1997
8.22,can,1998
8.02,can,1999
7.70,can,2000
7.59,can,2001
7.99,can,2002
8.34,can,2003
7.55,can,2004
4.29,chl,1955
8.01,chl,1956
10.54,chl,1957
9.37,chl,1958
9.10,chl,1959
10.58,chl,1960
12.46,chl,1961
7.81,chl,1962
10.10,chl,1963
7.58,chl,1964
8.19,chl,1965
20.32,chl,1966
9.36,chl,1967
33.39,chl,1968
27.72,chl,1969
22.29,chl,1970
29.63,chl,1971
29.40,chl,1972
22.97,chl,1973
15.92,chl,1974
12.23,chl,1975
11.45,chl,1976
10.48,chl,1977
13.62,chl,1978
14.09,chl,1979
16.09,chl,1980
16.78,chl,1981
12.01,chl,1982
11.37,chl,1983
9.49,chl,1984
8.55,chl,1985
7.62,chl,1986
9.69,chl,1987
9.41,chl,1988
10.14,chl,1989
9.86,chl,1990
11.73,chl,1991
13.93,chl,1992
14.36,chl,1993
13.58,chl,1994
13.03,chl,1995
13.38,chl,1996
13.58,chl,1997
14.69,chl,1998
12.95,chl,1999
15.13,chl,2000
15.67,chl,2001
13.55,chl,2002
14.48,chl,2003
15.01,chl,2004
15.53,chl,2005
11.00,col,1953
8.02,col,1954
10.86,col,1955
10.83,col,1956
9.98,col,1957
11.60,col,1958
9.73,col,1959
10.05,col,1960
10.04,col,1961
14.93,col,1962
15.53,col,1963
14.89,col,1964
15.45,col,1965
14.39,col,1966
13.01,col,1967
16.10,col,1968
12.63,col,1969
15.79,col,1972
20.26,col,1974
21.07,col,1975
20.04,col,1976
21.63,col,1977
22.59,col,1984
21.32,col,1985
18.47,col,1986
17.54,col,1987
16.77,col,1988
15.59,col,1989
16.31,col,1990
17.89,col,1991
19.54,col,1992
20.42,col,1993
22.48,col,1994
22.26,col,1995
21.13,col,1996
21.30,col,1997
23.05,col,1998
19.96,col,1999
19.16,col,2000
19.30,col,2001
18.04,col,2002
15.80,col,2004
15.34,col,2005
16.27,col,2006
7.74,cri,1962
10.09,cri,1963
9.34,cri,1964
11.22,cri,1965
16.91,cri,1966
11.93,cri,1967
12.44,cri,1968
15.59,cri,1969
18.12,cri,1970
20.92,cri,1971
23.90,cri,1972
18.64,cri,1973
27.77,cri,1974
17.63,cri,1975
30.76,cri,1976
19.61,cri,1977
23.71,cri,1978
26.27,cri,1979
21.16,cri,1980
16.94,cri,1981
13.97,cri,1982
9.31,cri,1983
15.46,cri,1984
18.69,cri,1985
19.71,cri,1986
18.80,cri,1987
17.06,cri,1988
17.57,cri,1989
18.48,cri,1990
19.71,cri,1991
21.71,cri,1992
16.74,cri,1993
20.56,cri,1994
15.59,cri,1995
15.05,cri,1996
18.05,cri,1997
22.33,cri,1998
21.65,cri,1999
19.97,cri,2000
19.51,cri,2001
19.75,cri,2002
16.64,cri,2003
17.10,cri,2004
14.79,cri,2005
17.39,cri,2006
22.36,hrv,1985
19.43,hrv,1986
20.90,hrv,1987
19.24,hrv,1988
19.29,hrv,1989
19.01,hrv,1990
18.40,hrv,1991
18.40,hrv,1992
11.34,hrv,1993
12.24,hrv,1994
10.57,hrv,1995
10.85,hrv,1996
9.89,hrv,1997
11.61,hrv,1998
11.44,hrv,1999
12.84,hrv,2000
11.37,hrv,2001
10.78,hrv,2002
14.85,hrv,2003
13.95,hrv,2004
13.25,hrv,2005
11.74,hrv,2006
13.53,hrv,2007
15.62,hrv,2008
10.65,cub,1964
10.61,cub,1968
11.97,cub,1969
15.34,cub,1970
14.26,cub,1971
12.67,cub,1972
12.77,cub,1973
14.03,cub,1974
15.33,cub,1975
16.15,cub,1976
23.27,cub,1977
20.47,cub,1992
20.91,cub,1993
23.78,cub,1994
24.62,cub,1995
19.36,cub,1996
18.31,cub,1997
17.81,cub,1998
17.18,cub,1999
16.46,cub,2000
