geo,population_aged_10_14_years_both_sexes_percent,time
afg,11.67,1950
afg,11.91,1955
afg,12.33,1960
afg,11.77,1965
afg,11.91,1970
afg,12.08,1975
afg,12.26,1980
afg,12.36,1985
afg,12.39,1990
afg,12.53,1995
afg,12.67,2000
afg,12.92,2005
afg,13.08,2010
afg,12.89,2015
afg,12.43,2020
afg,12.40,2025
afg,12.37,2030
afg,12.19,2035
afg,11.78,2040
afg,11.21,2045
afg,10.62,2050
alb,12.03,1950
alb,11.09,1955
alb,10.43,1960
alb,11.40,1965
alb,12.77,1970
alb,12.79,1975
alb,11.15,1980
alb,10.72,1985
alb,10.24,1990
alb,10.05,1995
alb,10.59,2000
alb,10.13,2005
alb,8.99,2010
alb,6.69,2015
alb,6.59,2020
alb,6.92,2025
alb,7.02,2030
alb,6.63,2035
alb,5.88,2040
alb,5.40,2045
alb,5.39,2050
dza,11.43,1950
dza,11.31,1955
dza,11.63,1960
dza,12.03,1965
dza,12.94,1970
dza,13.14,1975
dza,12.96,1980
dza,12.67,1985
dza,12.89,1990
dza,13.31,1995
dza,12.37,2000
dza,10.92,2005
dza,8.43,2010
dza,8.21,2015
dza,8.39,2020
dza,8.37,2025
dza,7.95,2030
dza,7.20,2035
dza,6.45,2040
dza,6.04,2045
dza,5.94,2050
ago,11.26,1950
ago,11.15,1955
ago,10.94,1960
ago,11.81,1965
ago,12.12,1970
ago,12.40,1975
ago,12.38,1980
ago,12.23,1985
ago,12.50,1990
ago,12.63,1995
ago,12.91,2000
ago,13.02,2005
ago,12.63,2010
ago,12.84,2015
ago,12.15,2020
ago,12.15,2025
ago,11.91,2030
ago,11.47,2035
ago,10.89,2040
ago,10.31,2045
ago,9.83,2050
arg,9.21,1950
arg,9.10,1955
arg,9.37,1960
arg,9.49,1965
arg,9.36,1970
arg,9.00,1975
arg,8.69,1980
arg,9.09,1985
arg,10.12,1990
arg,9.27,1995
arg,9.04,2000
arg,8.85,2005
arg,8.37,2010
arg,7.79,2015
arg,7.66,2020
arg,7.43,2025
arg,7.10,2030
arg,6.74,2035
arg,6.38,2040
arg,6.05,2045
arg,5.97,2050
arm,14.13,1950
arm,7.23,1955
arm,8.51,1960
arm,11.29,1965
arm,13.38,1970
arm,12.88,1975
arm,9.91,1980
arm,9.14,1985
arm,8.97,1990
arm,9.84,1995
arm,10.59,2000
arm,8.82,2005
arm,6.21,2010
arm,6.53,2015
arm,7.05,2020
arm,7.23,2025
arm,6.72,2030
arm,5.97,2035
arm,5.58,2040
arm,5.55,2045
arm,5.70,2050
abw,10.81,1950
abw,11.63,1955
abw,12.00,1960
abw,13.46,1965
abw,12.07,1970
abw,11.86,1975
abw,10.00,1980
abw,6.15,1985
abw,7.94,1990
abw,7.50,1995
abw,6.74,2000
abw,8.08,2005
abw,7.41,2010
abw,6.36,2015
abw,5.36,2020
abw,5.31,2025
abw,5.31,2030
abw,6.25,2035
abw,5.46,2040
abw,5.46,2045
abw,5.66,2050
aus,7.14,1950
aus,8.04,1955
aus,9.54,1960
aus,9.39,1965
aus,9.49,1970
aus,9.28,1975
aus,8.65,1980
aus,8.53,1985
aus,7.25,1990
aus,7.15,1995
aus,6.97,2000
aus,6.87,2005
aus,6.39,2010
aus,6.06,2015
aus,6.08,2020
aus,5.99,2025
aus,5.90,2030
aus,5.82,2035
aus,5.71,2040
aus,5.60,2045
aus,5.57,2050
aut,7.24,1950
aut,7.98,1955
aut,7.16,1960
aut,6.68,1965
aut,7.69,1970
aut,8.56,1975
aut,8.16,1980
aut,6.63,1985
aut,5.75,1990
aut,6.07,1995
aut,5.90,2000
aut,5.94,2005
aut,5.22,2010
aut,4.94,2015
aut,4.70,2020
aut,4.63,2025
aut,4.71,2030
aut,4.76,2035
