geo,time,income_share_of_2nd_richest_20percent
alb,1996,17.73
alb,2002,16.49
alb,2005,17.03
alb,2008,16.83
alb,2012,17.34
ago,2000,12.71
ago,2008,14.46
arg,1986,14.79
arg,1987,14.21
arg,1991,13.29
arg,1992,13.86
arg,1993,14.32
arg,1994,14.03
arg,1995,13.27
arg,1996,13.13
arg,1997,13.25
arg,1998,12.7
arg,1999,13.09
arg,2000,12.77
arg,2001,12.26
arg,2002,12.18
arg,2003,12.18
arg,2004,13.19
arg,2005,13.45
arg,2006,13.73
arg,2007,13.97
arg,2008,14.22
arg,2009,14.56
arg,2010,14.54
arg,2011,14.79
arg,2012,15.13
arg,2013,15.19
arg,2014,14.92
arm,1996,13.87
arm,1999,15.43
arm,2001,15.63
arm,2002,15.59
arm,2003,15.94
arm,2004,14.99
arm,2005,15.23
arm,2006,16.28
arm,2007,17.14
arm,2008,16.66
arm,2009,16.83
arm,2010,16.58
arm,2011,16.45
arm,2012,16.96
arm,2013,16.64
arm,2014,16.87
aus,1981,16.89
aus,1985,16.62
aus,1989,16.62
aus,1995,16.78
aus,2001,16.51
aus,2003,16.5
aus,2008,15.94
aus,2010,16.14
aut,2004,17.24
aut,2005,17.48
aut,2006,17.2
aut,2007,17.32
aut,2008,17.51
aut,2009,17.35
aut,2010,17.47
aut,2011,17.38
aut,2012,17.5
aze,1995,16.37
aze,2001,15.31
aze,2002,18.77
aze,2003,18.72
aze,2004,18.82
aze,2005,18.51
aze,2008,16.51
bgd,1983,17.91
bgd,1985,17.24
bgd,1988,16.96
bgd,1991,17.33
bgd,1995,15.68
bgd,2000,15.62
bgd,2005,15.59
bgd,2010,15.97
blr,1988,18.56
blr,1993,18.47
blr,1995,17.73
blr,1998,16.8
blr,1999,17.15
blr,2000,17.18
blr,2001,17.23
blr,2002,17.25
blr,2003,17.51
blr,2004,17.87
blr,2005,17.84
blr,2006,17.69
blr,2007,17.3
blr,2008,17.68
blr,2009,17.69
blr,2010,17.51
blr,2011,17.8
blr,2012,17.88
blr,2013,17.76
blr,2014,17.66
bel,2004,17.15
bel,2005,17.39
bel,2006,17.74
bel,2007,17.45
bel,2008,17.65
bel,2009,17.7
bel,2010,17.81
bel,2011,18.01
bel,2012,18.01
blz,1993,10.05
blz,1994,9.75
blz,1995,11.15
blz,1996,10.68
blz,1997,10.21
blz,1998,11.27
blz,1999,12.01
ben,2003,14.99
ben,2011,13.39
btn,2003,12.85
btn,2007,15.31
btn,2012,15.04
bol,1990,14.53
bol,1992,12.54
bol,1997,11.11
bol,1999,11.65
