geo,population_aged_0_4_years_female_percent,time
afg,17.75,1950
afg,17.08,1955
afg,17.42,1960
afg,17.79,1965
afg,18.15,1970
afg,18.36,1975
afg,18.52,1980
afg,18.82,1985
afg,19.05,1990
afg,19.32,1995
afg,19.29,2000
afg,18.72,2005
afg,17.87,2010
afg,17.55,2015
afg,17.11,2020
afg,16.40,2025
afg,15.40,2030
afg,14.27,2035
afg,13.20,2040
afg,12.26,2045
afg,11.44,2050
alb,14.29,1950
alb,15.79,1955
alb,17.27,1960
alb,16.61,1965
alb,14.85,1970
alb,13.80,1975
alb,12.85,1980
alb,12.14,1985
alb,11.67,1990
alb,10.29,1995
alb,9.07,2000
alb,6.81,2005
alb,6.72,2010
alb,6.95,2015
alb,6.89,2020
alb,6.36,2025
alb,5.61,2030
alb,5.10,2035
alb,5.02,2040
alb,5.12,2045
alb,5.02,2050
dza,16.11,1950
dza,16.67,1955
dza,17.69,1960
dza,19.30,1965
dza,18.65,1970
dza,18.14,1975
dza,17.57,1980
dza,17.11,1985
dza,14.95,1990
dza,12.69,1995
dza,9.76,2000
dza,9.48,2005
dza,9.57,2010
dza,9.35,2015
dza,8.68,2020
dza,7.68,2025
dza,6.78,2030
dza,6.26,2035
dza,6.09,2040
dza,6.10,2045
dza,5.96,2050
ago,16.66,1950
ago,18.19,1955
ago,18.64,1960
ago,18.92,1965
ago,18.88,1970
ago,18.75,1975
ago,19.19,1980
ago,19.42,1985
ago,19.57,1990
ago,19.45,1995
ago,18.42,2000
ago,18.20,2005
ago,16.85,2010
ago,16.39,2015
ago,15.59,2020
ago,14.58,2025
ago,13.48,2030
ago,12.47,2035
ago,11.64,2040
ago,10.91,2045
ago,10.21,2050
arg,11.47,1950
arg,11.32,1955
arg,10.91,1960
arg,10.40,1965
arg,10.07,1970
arg,10.41,1975
arg,11.39,1980
arg,10.34,1985
arg,9.95,1990
arg,9.59,1995
arg,8.96,2000
arg,8.27,2005
arg,8.06,2010
arg,7.73,2015
arg,7.31,2020
arg,6.85,2025
arg,6.43,2030
arg,6.05,2035
arg,5.91,2040
arg,5.76,2045
arg,5.59,2050
arm,10.81,1950
arm,13.99,1955
arm,15.82,1960
arm,14.83,1965
arm,11.03,1970
arm,10.23,1975
arm,10.20,1980
arm,10.79,1985
arm,10.47,1990
arm,8.26,1995
arm,5.64,2000
arm,5.87,2005
arm,6.37,2010
arm,6.45,2015
arm,5.98,2020
arm,5.28,2025
arm,4.93,2030
arm,4.92,2035
arm,5.05,2040
arm,5.07,2045
arm,4.93,2050
abw,16.67,1950
abw,19.05,1955
abw,16.67,1960
abw,15.38,1965
abw,10.34,1970
abw,10.34,1975
abw,9.68,1980
abw,9.09,1985
abw,9.09,1990
abw,7.69,1995
abw,6.52,2000
abw,5.77,2005
abw,5.36,2010
abw,5.26,2015
abw,5.36,2020
abw,5.26,2025
abw,5.08,2030
abw,5.36,2035
abw,5.26,2040
abw,5.17,2045
abw,5.36,2050
aus,10.60,1950
aus,10.60,1955
aus,10.47,1960
aus,10.09,1965
aus,9.33,1970
aus,9.03,1975
aus,7.50,1980
aus,7.37,1985
aus,7.16,1990
aus,6.95,1995
aus,6.43,2000
aus,6.10,2005
aus,6.10,2010
aus,5.98,2015
aus,5.85,2020
aus,5.72,2025
aus,5.56,2030
aus,5.42,2035
aus,5.37,2040
aus,5.36,2045
aus,5.35,2050
aut,6.78,1950
aut,6.40,1955
aut,7.37,1960
aut,8.09,1965
aut,7.55,1970
aut,6.13,1975
aut,5.27,1980
aut,5.54,1985
aut,5.33,1990
aut,5.45,1995
aut,4.86,2000
aut,4.58,2005
aut,4.38,2010
aut,4.33,2015
aut,4.39,2020
aut,4.41,2025
aut,4.36,2030
aut,4.26,2035
aut,4.25,2040
aut,4.34,2045
aut,4.51,2050
aze,9.86,1950
aze,13.36,1955
aze,17.34,1960
aze,17.24,1965
aze,13.90,1970
aze,11.77,1975
aze,10.95,1980
aze,11.48,1985
aze,12.38,1990
aze,11.01,1995
aze,8.04,2000
aze,7.12,2005
aze,8.00,2010
aze,7.99,2015
aze,7.25,2020
aze,6.25,2025
aze,5.64,2030
