geo,population_aged_5_9_years_both_sexes_percent,time
afg,13.39,1950
afg,13.98,1955
afg,13.47,1960
afg,13.73,1965
afg,14.02,1970
afg,14.32,1975
afg,14.52,1980
afg,14.63,1985
afg,14.86,1990
afg,15.02,1995
afg,15.22,2000
afg,15.31,2005
afg,15.06,2010
afg,14.47,2015
afg,14.34,2020
afg,14.15,2025
afg,13.78,2030
afg,13.16,2035
afg,12.40,2040
afg,11.64,2045
afg,10.96,2050
alb,12.69,1950
alb,12.17,1955
alb,13.28,1960
alb,14.66,1965
alb,14.55,1970
alb,13.12,1975
alb,11.82,1980
alb,11.60,1985
alb,10.70,1990
alb,11.17,1995
alb,10.37,2000
alb,9.20,2005
alb,6.91,2010
alb,6.78,2015
alb,7.07,2020
alb,7.09,2025
alb,6.64,2030
alb,5.90,2035
alb,5.38,2040
alb,5.34,2045
alb,5.48,2050
dza,12.82,1950
dza,13.27,1955
dza,13.98,1960
dza,15.00,1965
dza,15.97,1970
dza,15.71,1975
dza,15.02,1980
dza,14.86,1985
dza,14.97,1990
dza,13.43,1995
dza,11.81,2000
dza,9.12,2005
dza,8.86,2010
dza,8.98,2015
dza,8.85,2020
dza,8.31,2025
dza,7.46,2030
dza,6.65,2035
dza,6.19,2040
dza,6.06,2045
dza,6.11,2050
ago,12.98,1950
ago,12.84,1955
ago,13.95,1960
ago,14.37,1965
ago,14.71,1970
ago,14.81,1975
ago,14.68,1980
ago,15.06,1985
ago,15.21,1990
ago,15.37,1995
ago,15.48,2000
ago,14.77,2005
ago,14.96,2010
ago,14.04,2015
ago,13.87,2020
ago,13.42,2025
ago,12.78,2030
ago,12.01,2035
ago,11.28,2040
ago,10.66,2045
ago,10.12,2050
arg,9.97,1950
arg,10.21,1955
arg,10.25,1960
arg,10.06,1965
arg,9.71,1970
arg,9.43,1975
arg,9.77,1980
arg,10.86,1985
arg,9.91,1990
arg,9.60,1995
arg,9.33,2000
arg,8.79,2005
arg,8.16,2010
arg,7.98,2015
arg,7.70,2020
arg,7.32,2025
arg,6.90,2030
arg,6.51,2035
arg,6.16,2040
arg,6.05,2045
arg,5.93,2050
arm,8.06,1950
arm,9.85,1955
arm,12.96,1960
arm,14.69,1965
arm,14.22,1970
arm,10.82,1975
arm,9.81,1980
arm,9.71,1985
arm,10.41,1990
arm,10.68,1995
arm,8.84,2000
arm,6.30,2005
arm,6.67,2010
arm,7.17,2015
arm,7.27,2020
arm,6.72,2025
arm,5.96,2030
arm,5.56,2035
arm,5.51,2040
arm,5.62,2045
arm,5.60,2050
abw,13.51,1950
abw,13.95,1955
abw,16.00,1960
abw,15.38,1965
abw,13.79,1970
abw,10.17,1975
abw,8.33,1980
abw,7.69,1985
abw,7.94,1990
abw,7.50,1995
abw,7.87,2000
abw,7.07,2005
abw,6.48,2010
abw,5.46,2015
abw,5.36,2020
abw,5.31,2025
abw,6.20,2030
abw,5.36,2035
abw,5.46,2040
abw,5.46,2045
abw,5.66,2050
aus,8.60,1950
aus,10.23,1955
aus,9.94,1960
aus,9.99,1965
aus,9.86,1970
aus,9.10,1975
aus,8.89,1980
aus,7.47,1985
aus,7.38,1990
aus,7.14,1995
aus,7.06,2000
aus,6.56,2005
aus,6.20,2010
aus,6.21,2015
aus,6.09,2020
aus,5.98,2025
aus,5.87,2030
aus,5.74,2035
aus,5.62,2040
aus,5.57,2045
aus,5.57,2050
aut,8.09,1950
aut,7.32,1955
aut,6.83,1960
aut,7.81,1965
aut,8.57,1970
aut,8.10,1975
aut,6.61,1980
aut,5.71,1985
aut,6.02,1990
aut,5.83,1995
aut,5.91,2000
aut,5.20,2005
aut,4.90,2010
aut,4.67,2015
aut,4.59,2020
aut,4.66,2025
aut,4.69,2030
aut,4.64,2035
aut,4.55,2040
aut,4.55,2045
aut,4.65,2050
aze,8.01,1950
aze,8.99,1955
aze,12.11,1960
aze,15.50,1965
aze,15.89,1970
aze,13.34,1975
aze,10.99,1980
aze,10.50,1985
aze,11.36,1990
aze,11.99,1995
aze,10.96,2000
aze,8.16,2005
aze,7.42,2010
aze,8.29,2015
aze,8.31,2020
aze,7.57,2025
aze,6.57,2030
aze,5.91,2035
aze,5.81,2040
aze,5.93,2045
aze,5.87,2050
bhs,12.66,1950
bhs,12.50,1955
bhs,13.89,1960
bhs,14.79,1965
bhs,15.20,1970
bhs,14.29,1975
bhs,13.33,1980
bhs,11.16,1985
bhs,11.46,1990
bhs,9.96,1995
bhs,10.20,2000
bhs,9.26,2005
bhs,8.12,2010
bhs,7.63,2015
bhs,7.29,2020
